property_code,project_no,type,sales_date,construction_date,completed_90,completed_100,SLA_90,SLA_100,status
ALC0029,ALCPH04,House & Lot,6/29/2013,6/29/2013,3/3/2015,6/12/2015,20.12054795,3.320547945,Sold
ALC0030,ALCPH04,House & Lot,10/20/2016,10/20/2016,5/18/2018,8/17/2018,18.90410959,2.991780822,Sold
ALC0031,ALCPH04,House & Lot,7/17/2013,7/17/2013,2/14/2015,6/6/2015,18.96986301,3.682191781,Sold
ALC0032,ALCPH04,House & Lot,6/29/2013,6/29/2013,3/23/2015,7/6/2015,20.77808219,3.452054795,Sold
ALC0033,ALCPH04,House & Lot,6/29/2013,6/29/2013,3/7/2015,6/22/2015,20.25205479,3.517808219,Sold
ALC0034,ALCPH04,House & Lot,4/17/2013,4/17/2013,12/15/2014,4/6/2015,19.95616438,3.682191781,Sold
ALC0035,ALCPH04,House & Lot,6/27/2013,6/27/2013,3/17/2015,6/30/2015,20.64657534,3.452054795,Sold
ALC0036,ALCPH04,House & Lot,1/26/2013,1/26/2013,9/2/2014,12/25/2014,19.2,3.747945205,Sold
ALC0037,ALCPH04,House & Lot,4/14/2013,4/14/2013,12/30/2014,4/23/2015,20.54794521,3.747945205,Sold
ALC0038,ALCPH04,House & Lot,8/10/2013,8/10/2013,3/23/2015,7/8/2015,19.39726027,3.517808219,Sold
ALC0039,ALCPH04,House & Lot,9/6/2014,9/6/2014,4/30/2016,8/16/2016,19.79178082,3.550684932,Sold
ALC0040,ALCPH04,House & Lot,4/19/2014,4/19/2014,12/9/2015,3/26/2016,19.69315068,3.550684932,Sold
ALC0041,ALCPH04,House & Lot,10/4/2013,10/4/2013,6/10/2015,9/24/2015,20.18630137,3.484931507,Sold
ALC0042,ALCPH04,House & Lot,8/30/2013,8/30/2013,5/11/2015,8/19/2015,20.35068493,3.287671233,Sold
ALC0043,ALCPH04,House & Lot,8/30/2013,8/30/2013,4/17/2015,8/7/2015,19.56164384,3.682191781,Sold
ALC0044,ALCPH04,House & Lot,8/30/2013,8/30/2013,5/17/2015,8/30/2015,20.54794521,3.452054795,Sold
ALC0045,ALCPH04,House & Lot,3/10/2013,3/10/2013,10/7/2014,1/29/2015,18.9369863,3.747945205,Sold
ALC0046,ALCPH04,House & Lot,4/17/2013,4/17/2013,11/27/2014,3/22/2015,19.36438356,3.780821918,Sold
ALC0047,ALCPH04,House & Lot,3/18/2013,3/18/2013,11/28/2014,3/16/2015,20.38356164,3.550684932,Sold
ALC0048,ALCPH04,House & Lot,3/6/2013,3/6/2013,11/2/2014,2/25/2015,19.92328767,3.780821918,Sold
ALC0049,ALCPH04,House & Lot,2/8/2013,2/8/2013,10/12/2014,2/2/2015,20.08767123,3.715068493,Sold
ALC0050,ALCPH04,House & Lot,5/23/2013,5/23/2013,1/9/2015,4/23/2015,19.59452055,3.419178082,Sold
ALC0051,ALCPH04,House & Lot,7/17/2013,7/17/2013,3/21/2015,7/10/2015,20.12054795,3.649315068,Sold
ALC0052,ALCPH04,House & Lot,8/10/2013,8/10/2013,4/22/2015,8/6/2015,20.38356164,3.484931507,Sold
ALC0053,ALCPH04,House & Lot,6/24/2013,6/24/2013,3/12/2015,6/21/2015,20.58082192,3.320547945,Sold
ALC0054,ALCPH04,House & Lot,3/31/2021,3/31/2021,9/12/2022,12/10/2022,17.42465753,2.926027397,Sold
ALC0055,ALCPH04,House & Lot,6/7/2013,6/7/2013,2/9/2015,6/1/2015,20.12054795,3.682191781,Sold
ALC0056,ALCPH04,House & Lot,7/21/2013,7/21/2013,3/8/2015,6/26/2015,19.56164384,3.616438356,Sold
ALC0057,ALCPH04,House & Lot,10/23/2013,10/23/2013,6/13/2015,9/25/2015,19.66027397,3.419178082,Sold
ALC0058,ALCPH04,House & Lot,3/8/2013,3/8/2013,11/25/2014,3/15/2015,20.61369863,3.616438356,Sold
ALC0059,ALCPH04,House & Lot,5/22/2013,5/22/2013,1/6/2015,4/25/2015,19.52876712,3.583561644,Sold
ALC0060,ALCPH04,House & Lot,6/22/2013,6/22/2013,1/30/2015,5/12/2015,19.29863014,3.353424658,Sold
ALC0061,ALCPH04,House & Lot,11/28/2013,11/28/2013,8/8/2015,11/28/2015,20.31780822,3.682191781,Sold
ALC0062,ALCPH04,House & Lot,1/18/2018,1/18/2018,7/23/2019,10/22/2019,18.11506849,2.991780822,Sold
ALC0063,ALCPH04,House & Lot,7/27/2013,7/27/2013,3/10/2015,6/20/2015,19.43013699,3.353424658,Sold
ALC0064,ALCPH04,House & Lot,4/13/2013,4/13/2013,11/17/2014,3/10/2015,19.16712329,3.715068493,Sold
ALC0065,ALCPH04,House & Lot,5/30/2013,5/30/2013,1/28/2015,5/18/2015,19.9890411,3.616438356,Sold
ALC0066,ALCPH04,House & Lot,5/11/2014,5/11/2014,12/8/2015,3/24/2016,18.9369863,3.517808219,Sold
ALC0067,ALCPH04,House & Lot,12/28/2013,12/28/2013,8/3/2015,11/19/2015,19.16712329,3.550684932,Sold
ALC0068,ALCPH04,House & Lot,11/11/2012,11/11/2012,7/4/2014,10/27/2014,19.7260274,3.780821918,Sold
ALC0069,ALCPH04,House & Lot,1/26/2013,1/26/2013,8/31/2014,12/18/2014,19.13424658,3.583561644,Sold
ALC0070,ALCPH04,House & Lot,3/18/2013,3/18/2013,10/19/2014,2/7/2015,19.06849315,3.649315068,Sold
ALC0071,ALCPH04,House & Lot,3/19/2013,3/19/2013,11/20/2014,3/8/2015,20.08767123,3.550684932,Sold
ALC0072,ALCPH04,House & Lot,6/27/2013,6/27/2013,2/18/2015,6/3/2015,19.75890411,3.452054795,Sold
ALC0073,ALCPH04,House & Lot,6/21/2013,6/21/2013,2/26/2015,6/12/2015,20.21917808,3.484931507,Sold
ALC0074,ALCPH04,House & Lot,9/5/2013,9/5/2013,4/22/2015,8/5/2015,19.52876712,3.452054795,Sold
ALC0075,ALCPH04,House & Lot,4/4/2013,4/4/2013,12/11/2014,4/1/2015,20.25205479,3.649315068,Sold
ALC0076,ALCPH04,House & Lot,2/26/2017,2/26/2017,10/10/2018,1/21/2019,19.43013699,3.38630137,Sold
ALC0077,ALCPH04,House & Lot,9/6/2013,9/6/2013,4/26/2015,8/9/2015,19.62739726,3.452054795,Sold
ALC0078,ALCPH04,House & Lot,10/14/2013,10/14/2013,5/29/2015,9/7/2015,19.4630137,3.320547945,Sold
ALC0079,ALCPH04,House & Lot,11/23/2014,11/23/2014,7/23/2016,11/8/2016,19.9890411,3.550684932,Sold
ALC0080,ALCPH04,House & Lot,12/19/2012,12/19/2012,7/31/2014,11/20/2014,19.36438356,3.682191781,Sold
ALC0081,ALCPH04,House & Lot,4/8/2015,4/8/2015,11/21/2016,3/10/2017,19.49589041,3.583561644,Sold
ALC0082,ALCPH04,House & Lot,1/23/2014,1/23/2014,9/28/2015,1/11/2016,20.15342466,3.452054795,Sold
ALC0083,ALCPH04,House & Lot,12/30/2013,12/30/2013,8/24/2015,12/2/2015,19.79178082,3.287671233,Sold
ALC0084,ALCPH04,House & Lot,4/6/2013,4/6/2013,12/27/2014,4/14/2015,20.71232877,3.550684932,Sold
ALC0085,ALCPH04,House & Lot,8/10/2013,8/10/2013,4/26/2015,8/16/2015,20.51506849,3.682191781,Sold
ALC0086,ALCPH04,House & Lot,5/29/2014,5/29/2014,1/2/2016,4/15/2016,19.16712329,3.419178082,Sold
ALC0087,ALCPH04,House & Lot,12/12/2014,12/12/2014,7/27/2016,11/14/2016,19.49589041,3.616438356,Sold
ALC0088,ALCPH04,House & Lot,5/30/2013,5/30/2013,2/18/2015,5/29/2015,20.67945205,3.287671233,Sold
ALC0089,ALCPH04,House & Lot,4/10/2013,4/10/2013,12/13/2014,4/8/2015,20.12054795,3.81369863,Sold
ALC0090,ALCPH04,House & Lot,3/27/2013,3/27/2013,11/9/2014,2/27/2015,19.4630137,3.616438356,Sold
ALC0091,ALCPH04,House & Lot,3/2/2014,3/2/2014,10/26/2015,2/9/2016,19.82465753,3.484931507,Sold
ALC0092,ALCPH04,House & Lot,3/30/2014,3/30/2014,12/12/2015,3/29/2016,20.44931507,3.550684932,Sold
ALC0093,ALCPH04,House & Lot,5/31/2014,5/31/2014,1/17/2016,5/5/2016,19.59452055,3.583561644,Sold
ALC0094,ALCPH04,House & Lot,7/13/2016,7/13/2016,1/26/2018,5/4/2018,18.47671233,3.221917808,Sold
ALC0095,ALCPH04,House & Lot,6/26/2014,6/26/2014,1/24/2016,5/12/2016,18.96986301,3.583561644,Sold
ALC0096,ALCPH04,House & Lot,11/5/2014,11/5/2014,7/22/2016,11/10/2016,20.54794521,3.649315068,Sold
ALC0097,ALCPH04,House & Lot,7/14/2014,7/14/2014,2/20/2016,6/8/2016,19.26575342,3.583561644,Sold
ALC0098,ALCPH04,House & Lot,6/30/2014,6/30/2014,2/28/2016,6/19/2016,19.9890411,3.682191781,Sold
ALC0099,ALCPH04,House & Lot,7/17/2014,7/17/2014,2/21/2016,6/2/2016,19.2,3.353424658,Sold
ALC0100,ALCPH04,House & Lot,10/17/2016,10/17/2016,4/27/2018,7/28/2018,18.31232877,3.024657534,Sold
ALC0101,ALCPH04,House & Lot,8/1/2014,8/1/2014,3/25/2016,7/3/2016,19.79178082,3.287671233,Sold
ALC0102,ALCPH04,House & Lot,3/7/2014,3/7/2014,11/23/2015,3/13/2016,20.58082192,3.649315068,Sold
ALC0103,ALCPH04,House & Lot,2/15/2014,2/15/2014,11/10/2015,2/26/2016,20.8109589,3.550684932,Sold
ALC0104,ALCPH04,House & Lot,2/7/2014,2/7/2014,10/29/2015,2/11/2016,20.67945205,3.452054795,Sold
ALC0105,ALCPH04,House & Lot,9/11/2013,9/11/2013,4/10/2015,7/30/2015,18.9369863,3.649315068,Sold
ALC0106,ALCPH04,House & Lot,6/27/2016,6/27/2016,1/24/2018,5/8/2018,18.9369863,3.419178082,Sold
ALC0107,ALCPH04,House & Lot,2/14/2014,2/14/2014,10/30/2015,2/11/2016,20.48219178,3.419178082,Sold
ALC0108,ALCPH04,House & Lot,2/5/2014,2/5/2014,10/10/2015,1/20/2016,20.12054795,3.353424658,Sold
ALC0109,ALCPH04,House & Lot,12/7/2013,12/7/2013,7/21/2015,10/30/2015,19.43013699,3.320547945,Sold
ALC0110,ALCPH04,House & Lot,10/9/2013,10/9/2013,5/16/2015,9/1/2015,19.2,3.550684932,Sold
ALC0111,ALCPH04,House & Lot,7/24/2013,7/24/2013,4/9/2015,7/30/2015,20.51506849,3.682191781,Sold
ALC0112,ALCPH04,House & Lot,4/28/2013,4/28/2013,1/16/2015,5/5/2015,20.64657534,3.583561644,Sold
ALC0113,ALCPH04,House & Lot,7/17/2013,7/17/2013,2/26/2015,6/16/2015,19.36438356,3.616438356,Sold
ALC0114,ALCPH04,House & Lot,5/8/2013,5/8/2013,1/3/2015,4/17/2015,19.89041096,3.419178082,Sold
ALC0115,ALCPH04,House & Lot,6/12/2013,6/12/2013,1/13/2015,5/3/2015,19.06849315,3.616438356,Sold
ALC0116,ALCPH04,House & Lot,11/8/2013,11/8/2013,6/24/2015,10/12/2015,19.49589041,3.616438356,Sold
ALC0117,ALCPH04,House & Lot,11/27/2013,11/27/2013,8/10/2015,11/29/2015,20.41643836,3.649315068,Sold
ALC0118,ALCPH04,House & Lot,9/11/2020,9/11/2020,2/23/2022,5/17/2022,17.42465753,2.728767123,Sold
ALC0119,ALCPH04,House & Lot,12/15/2014,12/15/2014,7/16/2016,10/28/2016,19.03561644,3.419178082,Sold
ALC0120,ALCPH04,House & Lot,9/16/2016,9/16/2016,4/26/2018,7/31/2018,19.29863014,3.156164384,Sold
ALC0121,ALCPH04,House & Lot,5/21/2015,5/21/2015,12/9/2016,3/30/2017,18.6739726,3.649315068,Sold
ALC0122,ALCPH04,House & Lot,3/14/2012,3/14/2012,11/22/2013,3/15/2014,20.31780822,3.715068493,Sold
ALC0123,ALCPH02,Lot Only,3/24/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0124,ALCPH04,House & Lot,5/27/2012,5/27/2012,1/7/2014,4/27/2014,19.39726027,3.616438356,Sold
ALC0125,ALCPH04,House & Lot,5/27/2012,5/27/2012,1/4/2014,4/30/2014,19.29863014,3.81369863,Sold
ALC0126,ALCPH02,Lot Only,2/20/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0127,ALCPH04,House & Lot,5/30/2012,5/30/2012,1/15/2014,5/7/2014,19.56164384,3.682191781,Sold
ALC0128,ALCPH04,House & Lot,6/10/2012,6/10/2012,1/19/2014,5/7/2014,19.33150685,3.550684932,Sold
ALC0129,ALCPH02,Lot Only,1/25/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0130,ALCPH04,House & Lot,6/14/2012,6/14/2012,1/15/2014,5/8/2014,19.06849315,3.715068493,Sold
ALC0131,ALCPH02,Lot Only,1/26/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0132,ALCPH02,Lot Only,4/3/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0133,ALCPH02,Lot Only,4/13/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0134,ALCPH02,Lot Only,2/26/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0135,ALCPH02,Lot Only,3/6/2013,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0136,ALCPH02,Lot Only,2/27/2018,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0137,ALCPH02,Lot Only,8/28/2016,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0138,ALCPH02,Lot Only,2/8/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0139,ALCPH02,Lot Only,1/24/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0140,ALCPH02,Lot Only,5/18/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0141,ALCPH02,Lot Only,10/31/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0142,ALCPH02,Lot Only,2/22/2017,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0143,ALCPH02,Lot Only,8/8/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0144,ALCPH02,Lot Only,4/19/2015,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0145,ALCPH02,Lot Only,4/13/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0146,ALCPH02,Lot Only,4/3/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0147,ALCPH02,Lot Only,5/14/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0148,ALCPH04,House & Lot,6/14/2012,6/14/2012,2/7/2014,5/28/2014,19.82465753,3.616438356,Sold
ALC0149,ALCPH02,Lot Only,8/27/2018,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0150,ALCPH04,House & Lot,6/14/2012,6/14/2012,1/13/2014,5/4/2014,19.00273973,3.649315068,Sold
ALC0151,ALCPH04,House & Lot,6/21/2012,6/21/2012,3/15/2014,7/3/2014,20.77808219,3.616438356,Sold
ALC0152,ALCPH02,Lot Only,10/28/2017,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0153,ALCPH04,House & Lot,6/23/2012,6/23/2012,2/5/2014,6/1/2014,19.4630137,3.81369863,Sold
ALC0154,ALCPH04,House & Lot,7/5/2012,7/5/2012,3/6/2014,6/26/2014,20.02191781,3.682191781,Sold
ALC0155,ALCPH02,Lot Only,11/12/2014,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0156,ALCPH04,House & Lot,7/5/2012,7/5/2012,3/22/2014,7/16/2014,20.54794521,3.81369863,Sold
ALC0157,ALCPH04,House & Lot,9/17/2016,9/17/2016,5/8/2018,8/9/2018,19.66027397,3.057534247,Sold
ALC0158,ALCPH04,House & Lot,3/29/2017,3/29/2017,10/25/2018,2/7/2019,18.90410959,3.452054795,Sold
ALC0159,ALCPH04,House & Lot,9/30/2016,9/30/2016,4/8/2018,7/5/2018,18.24657534,2.893150685,Sold
ALC0160,ALCPH04,House & Lot,9/23/2016,9/23/2016,4/21/2018,8/3/2018,18.90410959,3.419178082,Sold
ALC0161,ALCPH04,House & Lot,4/20/2016,4/20/2016,11/29/2017,3/11/2018,19.33150685,3.353424658,Sold
ALC0162,ALCPH04,House & Lot,1/29/2017,1/29/2017,9/15/2018,12/20/2018,19.52876712,3.156164384,Sold
ALC0163,ALCPH04,House & Lot,1/25/2014,1/25/2014,9/13/2015,12/31/2015,19.59452055,3.583561644,Sold
ALC0164,ALCPH04,House & Lot,5/17/2015,5/17/2015,12/9/2016,3/19/2017,18.80547945,3.287671233,Sold
ALC0165,ALCPH04,House & Lot,7/17/2013,7/17/2013,2/24/2015,6/16/2015,19.29863014,3.682191781,Sold
ALC0166,ALCPH04,House & Lot,8/22/2013,8/22/2013,3/26/2015,7/16/2015,19.10136986,3.682191781,Sold
ALC0167,ALCPH04,House & Lot,8/4/2013,8/4/2013,3/9/2015,6/29/2015,19.13424658,3.682191781,Sold
ALC0168,ALCPH04,House & Lot,8/14/2013,8/14/2013,4/11/2015,7/27/2015,19.89041096,3.517808219,Sold
ALC0169,ALCPH04,House & Lot,5/20/2013,5/20/2013,1/26/2015,5/12/2015,20.25205479,3.484931507,Sold
ALC0170,ALCPH04,House & Lot,7/7/2012,7/7/2012,3/13/2014,7/4/2014,20.18630137,3.715068493,Sold
ALC0171,ALCPH02,Lot Only,4/11/2019,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0172,ALCPH04,House & Lot,7/26/2012,7/26/2012,4/20/2014,8/10/2014,20.8109589,3.682191781,Sold
ALC0173,ALCPH02,Lot Only,4/11/2019,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0174,ALCPH04,House & Lot,7/28/2012,7/28/2012,3/25/2014,7/19/2014,19.89041096,3.81369863,Sold
ALC0175,ALCPH02,Lot Only,3/9/2013,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0176,ALCPH04,House & Lot,3/22/2013,3/22/2013,12/14/2014,4/7/2015,20.77808219,3.747945205,Sold
ALC0177,ALCPH04,House & Lot,7/30/2012,7/30/2012,2/27/2014,6/16/2014,18.96986301,3.583561644,Sold
ALC0178,ALCPH02,Lot Only,4/13/2013,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0179,ALCPH04,House & Lot,8/9/2012,8/9/2012,4/29/2014,8/20/2014,20.64657534,3.715068493,Sold
ALC0180,ALCPH02,Lot Only,3/27/2013,3/13/2012,2/13/2014,5/14/2014,23.07945205,2.95890411,Sold
ALC0181,ALCPH04,House & Lot,3/2/2013,3/2/2013,10/13/2014,2/4/2015,19.39726027,3.747945205,Sold
ALC0182,ALCPH04,House & Lot,11/13/2013,11/13/2013,8/8/2015,11/24/2015,20.8109589,3.550684932,Sold
ALC0183,ALCPH04,House & Lot,10/30/2013,10/30/2013,7/24/2015,11/1/2015,20.77808219,3.287671233,Sold
ALC0184,ALCPH04,House & Lot,8/8/2015,8/8/2015,3/18/2017,7/4/2017,19.33150685,3.550684932,Sold
ALC0185,ALCPH04,House & Lot,6/28/2017,6/28/2017,1/28/2019,4/27/2019,19.03561644,2.926027397,Sold
ALC0186,ALCPH04,House & Lot,5/30/2016,5/30/2016,12/31/2017,4/10/2018,19.06849315,3.287671233,Sold
ALC0187,ALCPH04,House & Lot,5/12/2017,5/12/2017,12/12/2018,3/26/2019,19.03561644,3.419178082,Sold
ALC0188,ALCPH04,House & Lot,8/26/2018,8/26/2018,2/24/2020,5/17/2020,17.98356164,2.728767123,Sold
ALC0189,ALCPH04,House & Lot,8/26/2018,8/26/2018,2/23/2020,5/17/2020,17.95068493,2.761643836,Sold
ALC0190,ALCPH04,House & Lot,12/30/2013,12/30/2013,9/15/2015,12/30/2015,20.51506849,3.484931507,Sold
ALC0191,ALCPH04,House & Lot,12/21/2013,12/21/2013,7/21/2015,11/9/2015,18.96986301,3.649315068,Sold
ALC0192,ALCPH04,House & Lot,5/8/2014,5/8/2014,1/11/2016,4/23/2016,20.15342466,3.38630137,Sold
ALC0193,ALCPH04,House & Lot,3/26/2016,3/26/2016,10/17/2017,1/29/2018,18.73972603,3.419178082,Sold
ALC0194,ALCPH04,House & Lot,8/28/2018,8/28/2018,3/7/2020,5/25/2020,18.31232877,2.597260274,Sold
ALC0195,ALCPH04,House & Lot,5/27/2017,5/27/2017,12/27/2018,4/8/2019,19.03561644,3.353424658,Sold
ALC0196,ALCPH04,House & Lot,5/28/2017,5/28/2017,1/4/2019,4/3/2019,19.26575342,2.926027397,Sold
ALC0197,ALCPH04,House & Lot,6/28/2017,6/28/2017,1/31/2019,5/4/2019,19.13424658,3.057534247,Sold
ALC0198,ALCPH04,House & Lot,8/15/2020,8/15/2020,2/9/2022,5/5/2022,17.85205479,2.794520548,Sold
ALC0199,ALCPH04,House & Lot,8/15/2020,8/15/2020,1/31/2022,4/24/2022,17.55616438,2.728767123,Sold
ALC0200,ALCPH04,House & Lot,3/18/2016,3/18/2016,10/1/2017,1/14/2018,18.47671233,3.452054795,Sold
ALC0201,ALCPH04,House & Lot,9/21/2014,9/21/2014,4/21/2016,8/9/2016,19.00273973,3.616438356,Sold
ALC0202,ALCPH04,House & Lot,5/12/2016,5/12/2016,12/9/2017,3/28/2018,18.9369863,3.583561644,Sold
ALC0203,ALCPH04,House & Lot,3/20/2017,3/20/2017,9/29/2018,1/6/2019,18.34520548,3.254794521,Sold
ALC0204,ALCPH04,House & Lot,2/27/2018,2/27/2018,9/2/2019,11/29/2019,18.14794521,2.893150685,Sold
ALC0205,ALCPH04,House & Lot,10/9/2016,10/9/2016,5/21/2018,8/23/2018,19.36438356,3.090410959,Sold
ALC0206,ALCPH04,House & Lot,7/25/2016,7/25/2016,2/12/2018,5/24/2018,18.64109589,3.320547945,Sold
ALC0207,ALCPH04,House & Lot,5/14/2017,5/14/2017,12/23/2018,3/31/2019,19.33150685,3.221917808,Sold
ALC0208,ALCPH04,House & Lot,5/10/2017,5/10/2017,12/11/2018,3/9/2019,19.06849315,2.893150685,Sold
ALC0209,ALCPH04,House & Lot,4/22/2017,4/22/2017,10/31/2018,2/11/2019,18.31232877,3.38630137,Sold
ALC0210,ALCPH04,House & Lot,4/28/2017,4/28/2017,11/9/2018,2/5/2019,18.4109589,2.893150685,Sold
ALC0211,ALCPH04,House & Lot,11/10/2017,11/10/2017,5/22/2019,8/30/2019,18.34520548,3.287671233,Sold
ALC0212,ALCPH04,House & Lot,9/3/2017,9/3/2017,3/16/2019,6/23/2019,18.37808219,3.254794521,Sold
ALC0213,ALCPH04,House & Lot,6/28/2017,6/28/2017,2/3/2019,5/10/2019,19.23287671,3.156164384,Sold
ALC0214,ALCPH04,House & Lot,6/21/2019,6/21/2019,1/8/2021,4/9/2021,18.64109589,2.991780822,Sold
ALC0215,ALCPH04,House & Lot,3/22/2017,3/22/2017,10/19/2018,1/29/2019,18.9369863,3.353424658,Sold
ALC0216,ALCPH04,House & Lot,3/8/2018,3/8/2018,9/13/2019,12/24/2019,18.21369863,3.353424658,Sold
ALC0217,ALCPH04,House & Lot,3/29/2017,3/29/2017,11/14/2018,2/25/2019,19.56164384,3.38630137,Sold
ALC0218,ALCPH04,House & Lot,6/29/2013,6/29/2013,2/1/2015,5/23/2015,19.13424658,3.649315068,Sold
ALC0219,ALCPH04,House & Lot,11/21/2014,11/21/2014,8/4/2016,11/18/2016,20.44931507,3.484931507,Sold
ALC0220,ALCPH04,House & Lot,1/13/2013,1/13/2013,9/17/2014,1/8/2015,20.12054795,3.715068493,Sold
