property_code,project_no,sale_date,completed_100,turnover_date,collected_date,SLA_turnover,SLA_collection,status,sale_completed
ALC0049,ALCPH04,2/8/2013,2/2/2015,4/5/2015,5/17/2015,2.066666667,1.380821918,Sold,FALSE
ALC0050,ALCPH04,5/23/2013,4/23/2015,6/8/2015,8/6/2015,1.533333333,1.939726027,Sold,FALSE
ALC0051,ALCPH04,7/17/2013,7/10/2015,8/28/2015,10/8/2015,1.633333333,1.347945205,Sold,FALSE
ALC0052,ALCPH04,8/10/2013,8/6/2015,10/12/2015,12/3/2015,2.233333333,1.709589041,Sold,FALSE
ALC0053,ALCPH04,6/24/2013,6/21/2015,9/9/2015,11/8/2015,2.666666667,1.97260274,Sold,FALSE
ALC0054,ALCPH04,3/31/2021,12/10/2022,1/5/2023,2/6/2023,0.866666667,1.052054795,Sold,FALSE
ALC0055,ALCPH04,6/7/2013,6/1/2015,9/11/2015,11/6/2015,3.4,1.84109589,Sold,FALSE
ALC0056,ALCPH04,7/21/2013,6/26/2015,10/8/2015,11/27/2015,3.466666667,1.643835616,Sold,FALSE
ALC0057,ALCPH04,10/23/2013,9/25/2015,12/22/2015,2/1/2016,2.933333333,1.347945205,Sold,FALSE
ALC0058,ALCPH04,3/8/2013,3/15/2015,5/23/2015,7/7/2015,2.3,1.479452055,Sold,FALSE
ALC0059,ALCPH04,5/22/2013,4/25/2015,5/31/2015,7/29/2015,1.2,1.939726027,Sold,FALSE
ALC0060,ALCPH04,6/22/2013,5/12/2015,6/16/2015,8/5/2015,1.166666667,1.643835616,Sold,FALSE
ALC0061,ALCPH04,11/28/2013,11/28/2015,2/4/2016,4/2/2016,2.266666667,1.906849315,Sold,FALSE
ALC0062,ALCPH04,1/18/2018,10/22/2019,1/9/2020,3/8/2020,2.633333333,1.939726027,Sold,FALSE
ALC0063,ALCPH04,7/27/2013,6/20/2015,8/24/2015,10/20/2015,2.166666667,1.873972603,Sold,FALSE
ALC0064,ALCPH04,4/13/2013,3/10/2015,5/24/2015,7/16/2015,2.5,1.742465753,Sold,FALSE
ALC0065,ALCPH04,5/30/2013,5/18/2015,8/11/2015,9/26/2015,2.833333333,1.512328767,Sold,FALSE
ALC0066,ALCPH04,5/11/2014,3/24/2016,5/15/2016,7/14/2016,1.733333333,1.97260274,Sold,FALSE
ALC0067,ALCPH04,12/28/2013,11/19/2015,2/15/2016,4/8/2016,2.933333333,1.742465753,Sold,FALSE
ALC0068,ALCPH04,11/11/2012,10/27/2014,2/13/2015,4/13/2015,3.633333333,1.939726027,Sold,FALSE
ALC0069,ALCPH04,1/26/2013,12/18/2014,2/5/2015,3/21/2015,1.633333333,1.446575342,Sold,FALSE
ALC0070,ALCPH04,3/18/2013,2/7/2015,3/22/2015,5/21/2015,1.433333333,1.97260274,Sold,FALSE
ALC0071,ALCPH04,3/19/2013,3/8/2015,6/13/2015,7/29/2015,3.233333333,1.512328767,Sold,FALSE
ALC0072,ALCPH04,6/27/2013,6/3/2015,8/15/2015,10/7/2015,2.433333333,1.742465753,Sold,FALSE
ALC0073,ALCPH04,6/21/2013,6/12/2015,9/22/2015,11/20/2015,3.4,1.939726027,Sold,FALSE
ALC0074,ALCPH04,9/5/2013,8/5/2015,9/20/2015,11/10/2015,1.533333333,1.676712329,Sold,FALSE
ALC0075,ALCPH04,4/4/2013,4/1/2015,5/21/2015,6/30/2015,1.666666667,1.315068493,Sold,FALSE
ALC0076,ALCPH04,2/26/2017,1/21/2019,4/24/2019,6/23/2019,3.1,1.97260274,Sold,FALSE
ALC0077,ALCPH04,9/6/2013,8/9/2015,9/15/2015,11/3/2015,1.233333333,1.610958904,Sold,FALSE
ALC0078,ALCPH04,10/14/2013,9/7/2015,10/15/2015,11/26/2015,1.266666667,1.380821918,Sold,FALSE
ALC0079,ALCPH04,11/23/2014,11/8/2016,2/24/2017,4/9/2017,3.6,1.446575342,Sold,FALSE
ALC0080,ALCPH04,12/19/2012,11/20/2014,1/12/2015,3/11/2015,1.766666667,1.906849315,Sold,FALSE
ALC0081,ALCPH04,4/8/2015,3/10/2017,6/2/2017,7/20/2017,2.8,1.578082192,Sold,FALSE
ALC0082,ALCPH04,1/23/2014,1/11/2016,4/2/2016,5/29/2016,2.733333333,1.873972603,Sold,FALSE
ALC0083,ALCPH04,12/30/2013,12/2/2015,2/9/2016,3/30/2016,2.3,1.643835616,Sold,FALSE
ALC0084,ALCPH04,4/6/2013,4/14/2015,6/5/2015,7/15/2015,1.733333333,1.315068493,Sold,FALSE
ALC0085,ALCPH04,8/10/2013,8/16/2015,9/19/2015,11/2/2015,1.133333333,1.446575342,Sold,FALSE
ALC0086,ALCPH04,5/29/2014,4/15/2016,7/31/2016,9/17/2016,3.566666667,1.578082192,Sold,FALSE
ALC0087,ALCPH04,12/12/2014,11/14/2016,1/25/2017,3/17/2017,2.4,1.676712329,Sold,FALSE
ALC0088,ALCPH04,5/30/2013,5/29/2015,6/26/2015,8/16/2015,0.933333333,1.676712329,Sold,FALSE
ALC0089,ALCPH04,4/10/2013,4/8/2015,7/13/2015,8/23/2015,3.2,1.347945205,Sold,FALSE
ALC0090,ALCPH04,3/27/2013,2/27/2015,5/14/2015,7/10/2015,2.533333333,1.873972603,Sold,FALSE
ALC0091,ALCPH04,3/2/2014,2/9/2016,3/31/2016,5/11/2016,1.7,1.347945205,Sold,FALSE
ALC0092,ALCPH04,3/30/2014,3/29/2016,5/1/2016,6/24/2016,1.1,1.775342466,Sold,FALSE
ALC0093,ALCPH04,5/31/2014,5/5/2016,6/13/2016,7/28/2016,1.3,1.479452055,Sold,FALSE
ALC0094,ALCPH04,7/13/2016,5/4/2018,6/9/2018,7/23/2018,1.2,1.446575342,Sold,FALSE
ALC0095,ALCPH04,6/26/2014,5/12/2016,7/3/2016,8/21/2016,1.733333333,1.610958904,Sold,FALSE
ALC0096,ALCPH04,11/5/2014,11/10/2016,2/3/2017,3/22/2017,2.833333333,1.545205479,Sold,FALSE
ALC0097,ALCPH04,7/14/2014,6/8/2016,7/30/2016,9/26/2016,1.733333333,1.906849315,Sold,FALSE
ALC0098,ALCPH04,6/30/2014,6/19/2016,7/26/2016,9/14/2016,1.233333333,1.643835616,Sold,FALSE
ALC0099,ALCPH04,7/17/2014,6/2/2016,7/1/2016,8/14/2016,0.966666667,1.446575342,Sold,FALSE
ALC0100,ALCPH04,10/17/2016,7/28/2018,9/15/2018,11/4/2018,1.633333333,1.643835616,Sold,FALSE
ALC0101,ALCPH04,8/1/2014,7/3/2016,10/2/2016,11/26/2016,3.033333333,1.808219178,Sold,FALSE
ALC0102,ALCPH04,3/7/2014,3/13/2016,6/18/2016,7/28/2016,3.233333333,1.315068493,Sold,FALSE
ALC0103,ALCPH04,2/15/2014,2/26/2016,4/17/2016,6/8/2016,1.7,1.709589041,Sold,FALSE
ALC0104,ALCPH04,2/7/2014,2/11/2016,4/21/2016,6/1/2016,2.333333333,1.347945205,Sold,FALSE
ALC0105,ALCPH04,9/11/2013,7/30/2015,9/23/2015,11/4/2015,1.833333333,1.380821918,Sold,FALSE
ALC0106,ALCPH04,6/27/2016,5/8/2018,6/10/2018,7/27/2018,1.1,1.545205479,Sold,FALSE
ALC0107,ALCPH04,2/14/2014,2/11/2016,4/29/2016,6/22/2016,2.6,1.775342466,Sold,FALSE
ALC0108,ALCPH04,2/5/2014,1/20/2016,3/7/2016,4/27/2016,1.566666667,1.676712329,Sold,FALSE
ALC0109,ALCPH04,12/7/2013,10/30/2015,1/13/2016,3/1/2016,2.5,1.578082192,Sold,FALSE
ALC0110,ALCPH04,10/9/2013,9/1/2015,11/12/2015,12/25/2015,2.4,1.41369863,Sold,FALSE
ALC0111,ALCPH04,7/24/2013,7/30/2015,10/29/2015,12/28/2015,3.033333333,1.97260274,Sold,FALSE
ALC0112,ALCPH04,4/28/2013,5/5/2015,6/3/2015,7/30/2015,0.966666667,1.873972603,Sold,FALSE
ALC0113,ALCPH04,7/17/2013,6/16/2015,9/30/2015,11/18/2015,3.533333333,1.610958904,Sold,FALSE
ALC0114,ALCPH04,5/8/2013,4/17/2015,7/20/2015,9/5/2015,3.133333333,1.545205479,Sold,FALSE
ALC0115,ALCPH04,6/12/2013,5/3/2015,8/15/2015,10/5/2015,3.466666667,1.676712329,Sold,FALSE
ALC0116,ALCPH04,11/8/2013,10/12/2015,11/29/2015,1/25/2016,1.6,1.873972603,Sold,FALSE
ALC0117,ALCPH04,11/27/2013,11/29/2015,1/19/2016,2/28/2016,1.7,1.315068493,Sold,FALSE
ALC0118,ALCPH04,9/11/2020,5/17/2022,6/7/2022,7/2/2022,0.7,0.821917808,Sold,FALSE
ALC0119,ALCPH04,12/15/2014,10/28/2016,11/26/2016,1/19/2017,0.966666667,1.775342466,Sold,FALSE
ALC0120,ALCPH04,9/16/2016,7/31/2018,9/1/2018,10/24/2018,1.066666667,1.742465753,Sold,FALSE
ALC0121,ALCPH04,5/21/2015,3/30/2017,7/13/2017,8/30/2017,3.5,1.578082192,Sold,FALSE
ALC0122,ALCPH04,3/14/2012,3/15/2014,4/24/2014,6/19/2014,1.333333333,1.84109589,Sold,FALSE
ALC0123,ALCPH02,3/24/2014,5/14/2014,6/15/2014,7/27/2014,1.066666667,1.380821918,Sold,FALSE
ALC0124,ALCPH04,5/27/2012,4/27/2014,7/24/2014,9/5/2014,2.933333333,1.41369863,Sold,FALSE
ALC0125,ALCPH04,5/27/2012,4/30/2014,7/9/2014,8/20/2014,2.333333333,1.380821918,Sold,FALSE
ALC0126,ALCPH02,2/20/2014,5/14/2014,8/16/2014,10/2/2014,3.133333333,1.545205479,Sold,FALSE
ALC0127,ALCPH04,5/30/2012,5/7/2014,6/28/2014,8/7/2014,1.733333333,1.315068493,Sold,FALSE
ALC0128,ALCPH04,6/10/2012,5/7/2014,8/13/2014,10/3/2014,3.266666667,1.676712329,Sold,FALSE
ALC0129,ALCPH02,1/25/2014,5/14/2014,8/6/2014,9/22/2014,2.8,1.545205479,Sold,FALSE
ALC0130,ALCPH04,6/14/2012,5/8/2014,6/15/2014,7/26/2014,1.266666667,1.347945205,Sold,FALSE
ALC0131,ALCPH02,1/26/2014,5/14/2014,8/29/2014,10/24/2014,3.566666667,1.84109589,Sold,FALSE
ALC0132,ALCPH02,4/3/2014,5/14/2014,8/7/2014,9/21/2014,2.833333333,1.479452055,Sold,FALSE
ALC0133,ALCPH02,4/13/2014,5/14/2014,6/19/2014,7/30/2014,1.2,1.347945205,Sold,FALSE
ALC0134,ALCPH02,2/26/2014,5/14/2014,7/8/2014,8/21/2014,1.833333333,1.446575342,Sold,FALSE
ALC0135,ALCPH02,3/6/2013,5/14/2014,8/8/2014,9/25/2014,2.866666667,1.578082192,Sold,FALSE
ALC0136,ALCPH02,2/27/2018,5/14/2014,6/18/2018,8/2/2018,2.933333333,1.479452055,Sold,TRUE
ALC0137,ALCPH02,8/28/2016,5/14/2014,10/20/2016,12/15/2016,1.9,1.84109589,Sold,TRUE
ALC0138,ALCPH02,2/8/2014,5/14/2014,8/5/2014,9/23/2014,2.766666667,1.610958904,Sold,FALSE
ALC0139,ALCPH02,1/24/2014,5/14/2014,7/31/2014,9/22/2014,2.6,1.742465753,Sold,FALSE
ALC0140,ALCPH02,5/18/2014,5/14/2014,6/30/2014,8/9/2014,2.833333333,1.315068493,Sold,TRUE
ALC0141,ALCPH02,10/31/2014,5/14/2014,1/9/2015,3/4/2015,2.966666667,1.775342466,Sold,TRUE
ALC0142,ALCPH02,2/22/2017,5/14/2014,4/21/2017,6/13/2017,3.233333333,1.742465753,Sold,TRUE
ALC0143,ALCPH02,8/8/2014,5/14/2014,12/2/2014,1/27/2015,1.8,1.84109589,Sold,TRUE
ALC0144,ALCPH02,4/19/2015,5/14/2014,8/14/2015,10/12/2015,1.566666667,1.939726027,Sold,TRUE
ALC0145,ALCPH02,4/13/2014,5/14/2014,7/22/2014,9/15/2014,2.3,1.808219178,Sold,FALSE
ALC0146,ALCPH02,4/3/2014,5/14/2014,8/25/2014,10/16/2014,3.433333333,1.709589041,Sold,FALSE
ALC0147,ALCPH02,5/14/2014,5/14/2014,7/7/2014,8/23/2014,1.8,1.545205479,Sold,FALSE
ALC0148,ALCPH04,6/14/2012,5/28/2014,7/26/2014,9/6/2014,1.966666667,1.380821918,Sold,FALSE
ALC0149,ALCPH02,8/27/2018,5/14/2014,11/30/2018,1/26/2019,2.7,1.873972603,Sold,TRUE
ALC0150,ALCPH04,6/14/2012,5/4/2014,7/24/2014,9/15/2014,2.7,1.742465753,Sold,FALSE
ALC0151,ALCPH04,6/21/2012,7/3/2014,8/16/2014,10/9/2014,1.466666667,1.775342466,Sold,FALSE
ALC0152,ALCPH02,10/28/2017,5/14/2014,1/21/2018,3/18/2018,2.866666667,1.84109589,Sold,TRUE
ALC0153,ALCPH04,6/23/2012,6/1/2014,7/3/2014,8/31/2014,1.066666667,1.939726027,Sold,FALSE
ALC0154,ALCPH04,7/5/2012,6/26/2014,7/28/2014,9/16/2014,1.066666667,1.643835616,Sold,FALSE
ALC0155,ALCPH02,11/12/2014,5/14/2014,2/12/2015,3/29/2015,2.166666667,1.479452055,Sold,TRUE
ALC0156,ALCPH04,7/5/2012,7/16/2014,10/10/2014,12/3/2014,2.866666667,1.775342466,Sold,FALSE
ALC0157,ALCPH04,9/17/2016,8/9/2018,11/3/2018,1/1/2019,2.866666667,1.939726027,Sold,FALSE
ALC0158,ALCPH04,3/29/2017,2/7/2019,3/24/2019,5/6/2019,1.5,1.41369863,Sold,FALSE
ALC0159,ALCPH04,9/30/2016,7/5/2018,9/6/2018,10/23/2018,2.1,1.545205479,Sold,FALSE
ALC0160,ALCPH04,9/23/2016,8/3/2018,8/31/2018,10/22/2018,0.933333333,1.709589041,Sold,FALSE
ALC0161,ALCPH04,4/20/2016,3/11/2018,6/22/2018,8/20/2018,3.433333333,1.939726027,Sold,FALSE
ALC0162,ALCPH04,1/29/2017,12/20/2018,4/6/2019,5/16/2019,3.566666667,1.315068493,Sold,FALSE
ALC0163,ALCPH04,1/25/2014,12/31/2015,3/29/2016,5/26/2016,2.966666667,1.906849315,Sold,FALSE
ALC0164,ALCPH04,5/17/2015,3/19/2017,6/14/2017,8/3/2017,2.9,1.643835616,Sold,FALSE
ALC0165,ALCPH04,7/17/2013,6/16/2015,7/20/2015,8/29/2015,1.133333333,1.315068493,Sold,FALSE
ALC0166,ALCPH04,8/22/2013,7/16/2015,10/6/2015,11/18/2015,2.733333333,1.41369863,Sold,FALSE
ALC0167,ALCPH04,8/4/2013,6/29/2015,7/27/2015,9/19/2015,0.933333333,1.775342466,Sold,FALSE
ALC0168,ALCPH04,8/14/2013,7/27/2015,8/25/2015,10/5/2015,0.966666667,1.347945205,Sold,FALSE
ALC0169,ALCPH04,5/20/2013,5/12/2015,8/5/2015,9/20/2015,2.833333333,1.512328767,Sold,FALSE
ALC0170,ALCPH04,7/7/2012,7/4/2014,9/5/2014,10/24/2014,2.1,1.610958904,Sold,FALSE
ALC0171,ALCPH02,4/11/2019,5/14/2014,8/7/2019,9/27/2019,1.233333333,1.676712329,Sold,TRUE
ALC0172,ALCPH04,7/26/2012,8/10/2014,11/27/2014,1/18/2015,3.633333333,1.709589041,Sold,FALSE
ALC0173,ALCPH02,4/11/2019,5/14/2014,7/25/2019,9/12/2019,2.533333333,1.610958904,Sold,TRUE
ALC0174,ALCPH04,7/28/2012,7/19/2014,10/8/2014,12/4/2014,2.7,1.873972603,Sold,FALSE
ALC0175,ALCPH02,3/9/2013,5/14/2014,8/11/2014,9/20/2014,2.966666667,1.315068493,Sold,FALSE
ALC0176,ALCPH04,3/22/2013,4/7/2015,5/16/2015,7/12/2015,1.3,1.873972603,Sold,FALSE
ALC0177,ALCPH04,7/30/2012,6/16/2014,8/5/2014,9/29/2014,1.666666667,1.808219178,Sold,FALSE
ALC0178,ALCPH02,4/13/2013,5/14/2014,7/3/2014,8/20/2014,1.666666667,1.578082192,Sold,FALSE
ALC0179,ALCPH04,8/9/2012,8/20/2014,10/1/2014,11/18/2014,1.4,1.578082192,Sold,FALSE
ALC0180,ALCPH02,3/27/2013,5/14/2014,8/14/2014,10/7/2014,3.066666667,1.775342466,Sold,FALSE
ALC0181,ALCPH04,3/2/2013,2/4/2015,3/28/2015,5/25/2015,1.733333333,1.906849315,Sold,FALSE
ALC0182,ALCPH04,11/13/2013,11/24/2015,1/26/2016,3/6/2016,2.1,1.315068493,Sold,FALSE
ALC0183,ALCPH04,10/30/2013,11/1/2015,12/20/2015,2/3/2016,1.633333333,1.479452055,Sold,FALSE
ALC0184,ALCPH04,8/8/2015,7/4/2017,8/25/2017,10/15/2017,1.733333333,1.676712329,Sold,FALSE
ALC0185,ALCPH04,6/28/2017,4/27/2019,6/6/2019,7/16/2019,1.333333333,1.315068493,Sold,FALSE
ALC0186,ALCPH04,5/30/2016,4/10/2018,6/16/2018,7/31/2018,2.233333333,1.479452055,Sold,FALSE
ALC0187,ALCPH04,5/12/2017,3/26/2019,7/10/2019,8/30/2019,3.533333333,1.676712329,Sold,FALSE
ALC0188,ALCPH04,8/26/2018,5/17/2020,6/29/2020,8/10/2020,1.433333333,1.380821918,Sold,FALSE
ALC0189,ALCPH04,8/26/2018,5/17/2020,8/20/2020,10/6/2020,3.166666667,1.545205479,Sold,FALSE
ALC0190,ALCPH04,12/30/2013,12/30/2015,3/19/2016,5/5/2016,2.666666667,1.545205479,Sold,FALSE
ALC0191,ALCPH04,12/21/2013,11/9/2015,12/26/2015,2/17/2016,1.566666667,1.742465753,Sold,FALSE
ALC0192,ALCPH04,5/8/2014,4/23/2016,7/24/2016,9/6/2016,3.066666667,1.446575342,Sold,FALSE
ALC0193,ALCPH04,3/26/2016,1/29/2018,2/27/2018,4/19/2018,0.966666667,1.676712329,Sold,FALSE
ALC0194,ALCPH04,8/28/2018,5/25/2020,9/5/2020,10/23/2020,3.433333333,1.578082192,Sold,FALSE
ALC0195,ALCPH04,5/27/2017,4/8/2019,6/10/2019,7/22/2019,2.1,1.380821918,Sold,FALSE
ALC0196,ALCPH04,5/28/2017,4/3/2019,5/17/2019,7/4/2019,1.466666667,1.578082192,Sold,FALSE
ALC0197,ALCPH04,6/28/2017,5/4/2019,6/3/2019,7/25/2019,1,1.709589041,Sold,FALSE
ALC0198,ALCPH04,8/15/2020,5/5/2022,5/31/2022,6/27/2022,0.866666667,0.887671233,Sold,FALSE
ALC0199,ALCPH04,8/15/2020,4/24/2022,5/17/2022,6/18/2022,0.766666667,1.052054795,Sold,FALSE
ALC0200,ALCPH04,3/18/2016,1/14/2018,2/21/2018,4/15/2018,1.266666667,1.742465753,Sold,FALSE
ALC0201,ALCPH04,9/21/2014,8/9/2016,11/19/2016,1/7/2017,3.4,1.610958904,Sold,FALSE
ALC0202,ALCPH04,5/12/2016,3/28/2018,5/13/2018,7/7/2018,1.533333333,1.808219178,Sold,FALSE
ALC0203,ALCPH04,3/20/2017,1/6/2019,2/23/2019,4/21/2019,1.6,1.873972603,Sold,FALSE
ALC0204,ALCPH04,2/27/2018,11/29/2019,1/5/2020,2/19/2020,1.233333333,1.479452055,Sold,FALSE
ALC0205,ALCPH04,10/9/2016,8/23/2018,11/11/2018,1/4/2019,2.666666667,1.775342466,Sold,FALSE
ALC0206,ALCPH04,7/25/2016,5/24/2018,9/1/2018,10/18/2018,3.333333333,1.545205479,Sold,FALSE
ALC0207,ALCPH04,5/14/2017,3/31/2019,7/12/2019,9/4/2019,3.433333333,1.775342466,Sold,FALSE
ALC0208,ALCPH04,5/10/2017,3/9/2019,4/28/2019,6/22/2019,1.666666667,1.808219178,Sold,FALSE
ALC0209,ALCPH04,4/22/2017,2/11/2019,4/8/2019,6/7/2019,1.866666667,1.97260274,Sold,FALSE
ALC0210,ALCPH04,4/28/2017,2/5/2019,5/11/2019,6/28/2019,3.166666667,1.578082192,Sold,FALSE
ALC0211,ALCPH04,11/10/2017,8/30/2019,12/10/2019,1/19/2020,3.4,1.315068493,Sold,FALSE
ALC0212,ALCPH04,9/3/2017,6/23/2019,9/10/2019,10/24/2019,2.633333333,1.446575342,Sold,FALSE
ALC0213,ALCPH04,6/28/2017,5/10/2019,8/1/2019,9/11/2019,2.766666667,1.347945205,Sold,FALSE
ALC0214,ALCPH04,6/21/2019,4/9/2021,5/14/2021,6/14/2021,1.166666667,1.019178082,Sold,FALSE
ALC0215,ALCPH04,3/22/2017,1/29/2019,3/19/2019,5/1/2019,1.633333333,1.41369863,Sold,FALSE
ALC0216,ALCPH04,3/8/2018,12/24/2019,2/15/2020,4/11/2020,1.766666667,1.84109589,Sold,FALSE
ALC0217,ALCPH04,3/29/2017,2/25/2019,4/6/2019,5/22/2019,1.333333333,1.512328767,Sold,FALSE
ALC0218,ALCPH04,6/29/2013,5/23/2015,8/13/2015,10/6/2015,2.733333333,1.775342466,Sold,FALSE
ALC0219,ALCPH04,11/21/2014,11/18/2016,2/24/2017,4/25/2017,3.266666667,1.97260274,Sold,FALSE
ALC0220,ALCPH04,1/13/2013,1/8/2015,4/28/2015,6/23/2015,3.666666667,1.84109589,Sold,FALSE
ALC0221,ALCPH04,8/11/2013,8/13/2015,11/3/2015,1/2/2016,2.733333333,1.97260274,Sold,FALSE
ALC0222,ALCPH04,8/11/2013,8/16/2015,9/15/2015,10/28/2015,1,1.41369863,Sold,FALSE
ALC0223,ALCPH04,3/27/2016,1/28/2018,4/23/2018,6/7/2018,2.833333333,1.479452055,Sold,FALSE
ALC0224,ALCPH04,4/29/2016,2/25/2018,4/27/2018,6/26/2018,2.033333333,1.97260274,Sold,FALSE
ALC0225,ALCPH04,10/15/2013,10/11/2015,12/26/2015,2/22/2016,2.533333333,1.906849315,Sold,FALSE
ALC0226,ALCPH04,3/26/2016,2/5/2018,5/22/2018,7/17/2018,3.533333333,1.84109589,Sold,FALSE
