entity_cd,property_code,project_no,lot_no,type,area,lot_cost,lot_price,house_cost,house_price,package_cost,package_price,transfer_charges,model,model_area,sales_date,status,date_updated
Alcoves,ALC0012,ALCPH04,12,House & Lot,144.00,12190.02794,19277.65332,14892.84702,25784.25251,27082.87496,45061.90584,1630.339753,HM0140,40,2/4/2014,Sold,3/11/2023
Alcoves,ALC0013,ALCPH04,13,House & Lot,120.00,13051.41839,18947.03621,10813.24741,26674.22362,23864.66581,45621.25983,1754.252527,HM0139,40,10/29/2016,Sold,3/11/2023
Alcoves,ALC0014,ALCPH04,14,House & Lot,126.00,10781.21274,15044.58675,14865.29834,22997.07456,25646.51108,38041.66131,1376.347306,HM0140,40,5/9/2013,Sold,3/11/2023
Alcoves,ALC0015,ALCPH04,15,House & Lot,185.00,15805.80935,22607.53705,14842.99597,22962.5721,30648.80532,45570.10915,1648.726549,HM0140,40,3/15/2013,Sold,3/11/2023
Alcoves,ALC0016,ALCPH04,16,House & Lot,184.00,15747.71052,21755.30932,14905.43396,22772.47909,30653.14448,44527.78841,1611.015385,HM0139,40,5/17/2013,Sold,3/11/2023
Alcoves,ALC0017,ALCPH04,17,House & Lot,120.00,10177.44223,15100.78597,14920.82783,24237.12936,25098.27006,39337.91533,1423.245777,HM0140,40,5/27/2012,Sold,3/11/2023
Alcoves,ALC0018,ALCPH04,18,House & Lot,127.00,10893.68626,15201.53741,14902.10791,23054.02009,25795.79417,38255.5575,1384.08607,HM0139,40,6/27/2013,Sold,3/11/2023
Alcoves,ALC0019,ALCPH04,19,House & Lot,134.00,11364.5487,15462.1349,14770.40568,22224.27139,26134.95438,37686.40629,1363.494179,HM0140,40,5/24/2013,Sold,3/11/2023
Alcoves,ALC0020,ALCPH04,20,House & Lot,140.00,11849.03792,15542.59707,13319.94704,21382.49731,25168.98496,36925.09438,1335.949915,HM0139,40,5/22/2013,Sold,3/11/2023
Alcoves,ALC0021,ALCPH04,21,House & Lot,146.00,12538.12541,17496.26143,14923.18107,23081.03497,27461.30648,40577.2964,1468.086584,HM0140,40,2/10/2013,Sold,3/11/2023
Alcoves,ALC0022,ALCPH04,22,House & Lot,152.00,12974.56078,19010.54691,14829.47021,24088.72966,27804.03099,43099.27656,1559.331826,HM0139,40,8/14/2013,Sold,3/11/2023
Alcoves,ALC0023,ALCPH04,23,House & Lot,158.00,13423.98458,24007.26904,14138.96971,28340.1786,27562.95429,52347.44764,1893.930656,HM0138,40,11/28/2014,Sold,3/11/2023
Alcoves,ALC0024,ALCPH04,24,House & Lot,159.00,13675.2224,19083.01732,14942.17547,23116.00585,28617.39787,42199.02317,1526.760658,HM0139,40,6/29/2013,Sold,3/11/2023
Alcoves,ALC0025,ALCPH04,25,House & Lot,147.00,12605.91173,17590.8533,14898.18915,23047.95766,27504.10089,40638.81095,1470.31218,HM0140,40,1/30/2013,Sold,3/11/2023
Alcoves,ALC0026,ALCPH04,26,House & Lot,169.00,14508.69175,20752.22961,12410.29534,19257.79861,26918.98709,40010.02822,1447.562821,HM0202,40,4/14/2013,Sold,3/11/2023
Alcoves,ALC0027,ALCPH04,27,House & Lot,178.00,15346.09174,21949.98879,14978.01796,23171.45529,30324.1097,45121.44408,1632.493847,HM0140,40,4/28/2013,Sold,3/11/2023
Alcoves,ALC0028,ALCPH04,28,House & Lot,120.00,10102.69665,16488.87039,14811.24568,26465.03864,24913.94233,42953.90903,1554.072429,HM0139,40,10/22/2014,Sold,3/11/2023
Alcoves,ALC0029,ALCPH04,29,House & Lot,120.00,10333.47747,14419.79703,12452.24281,19316.58494,22785.72028,33736.38197,1220.5823,HM0133,40,6/29/2013,Sold,3/11/2023
Alcoves,ALC0030,ALCPH04,30,House & Lot,120.00,11687.19114,18952.1346,17201.26762,26681.40129,28888.45876,45633.53589,1754.724572,HM0139,40,10/20/2016,Sold,3/11/2023
Alcoves,ALC0031,ALCPH04,31,House & Lot,120.00,9785.530518,15054.66234,13108.57769,20167.0428,22894.1082,35221.70513,1274.321292,HM0202,40,7/17/2013,Sold,3/11/2023
Alcoves,ALC0032,ALCPH04,32,House & Lot,120.00,10342.38652,14432.22911,14973.25016,23164.07935,25315.63668,37596.30846,1360.23444,HM0139,40,6/29/2013,Sold,3/11/2023
Alcoves,ALC0033,ALCPH04,33,House & Lot,120.00,10251.69764,14305.6778,14841.95482,22960.96141,25093.65246,37266.63921,1348.307007,HM0140,40,6/29/2013,Sold,3/11/2023
Alcoves,ALC0034,ALCPH04,34,House & Lot,120.00,10292.00775,14361.92833,14944.02438,21898.68249,25236.03213,36260.61081,1311.908899,HM0139,40,4/17/2013,Sold,3/11/2023
Alcoves,ALC0035,ALCPH04,35,House & Lot,120.00,10264.93143,14324.14481,14861.11411,22990.60142,25126.04554,37314.74623,1350.047519,HM0140,40,6/27/2013,Sold,3/11/2023
Alcoves,ALC0036,ALCPH04,36,House & Lot,209.00,17854.43664,25911.47496,12349.24574,19163.06429,30203.68238,45074.53924,1630.79683,HM0001,40,1/26/2013,Sold,3/11/2023
Alcoves,ALC0037,ALCPH04,37,House & Lot,194.00,16535.33201,23650.99596,14807.70489,22907.97572,31343.03691,46558.97168,1684.503595,HM0140,40,4/14/2013,Sold,3/11/2023
Alcoves,ALC0038,ALCPH04,38,House & Lot,129.00,10977.27867,16084.09517,14783.64539,24014.29262,25760.92406,40098.38778,1450.75967,HM0139,40,8/10/2013,Sold,3/11/2023
Alcoves,ALC0039,ALCPH04,39,House & Lot,120.00,10077.36808,16447.53099,14774.11227,26398.68789,24851.48036,42846.21888,1550.176199,HM0140,40,9/6/2014,Sold,3/11/2023
Alcoves,ALC0040,ALCPH04,40,House & Lot,120.00,10208.92758,15829.13998,14966.98751,25406.15508,25175.91508,41235.29506,1491.892975,HM0139,40,4/19/2014,Sold,3/11/2023
Alcoves,ALC0041,ALCPH04,41,House & Lot,120.00,10317.29866,15117.08141,14936.92908,24263.28394,25254.22774,39380.36535,1424.781618,HM0140,40,10/4/2013,Sold,3/11/2023
Alcoves,ALC0042,ALCPH04,42,House & Lot,120.00,10212.0291,14962.83867,14784.52446,24015.72057,24996.55356,38978.55923,1410.244273,HM0139,40,8/30/2013,Sold,3/11/2023
Alcoves,ALC0043,ALCPH04,43,House & Lot,120.00,10252.3265,15021.8831,14842.86526,24110.48833,25095.19176,39132.37143,1415.809199,HM0140,40,8/30/2013,Sold,3/11/2023
Alcoves,ALC0044,ALCPH04,44,House & Lot,120.00,10345.41148,15158.27279,14977.62957,24329.39709,25323.04104,39487.66988,1428.663896,HM0139,40,8/30/2013,Sold,3/11/2023
Alcoves,ALC0045,ALCPH04,45,House & Lot,120.00,10203.45738,14238.36118,14772.1147,22852.9166,24975.57208,37091.27777,1311.831095,HM0140,40,3/10/2013,Sold,3/11/2023
Alcoves,ALC0046,ALCPH04,46,House & Lot,160.00,13793.85664,19729.77905,14977.60199,23170.81176,28771.45863,42900.59081,1552.143375,HM0139,40,4/17/2013,Sold,3/11/2023
Alcoves,ALC0047,ALCPH04,47,House & Lot,146.00,12516.47373,17902.6989,14893.8062,23041.17709,27410.27993,40943.87599,1481.349433,HM0140,40,3/18/2013,Sold,3/11/2023
Alcoves,ALC0048,ALCPH04,48,House & Lot,120.00,10293.48657,14363.99193,14902.45497,23054.55701,25195.94154,37418.54894,1353.803101,HM0139,40,3/6/2013,Sold,3/11/2023
Alcoves,ALC0049,ALCPH04,49,House & Lot,120.00,10152.3318,14167.01825,14702.21939,22738.40947,24854.55119,36905.42772,1335.238375,HM0140,40,2/8/2013,Sold,3/11/2023
Alcoves,ALC0050,ALCPH04,50,House & Lot,120.00,10245.9862,14297.7078,12342.78302,19153.03569,22588.76922,33450.74349,1210.2479,HM0001,40,5/23/2013,Sold,3/11/2023
Alcoves,ALC0051,ALCPH04,51,House & Lot,120.00,10201.25335,14947.04985,12288.89578,20022.88641,22490.14912,34969.93626,1265.212294,HM0202,40,7/17/2013,Sold,3/11/2023
Alcoves,ALC0052,ALCPH04,52,House & Lot,120.00,10221.25165,14976.3517,14801.45776,24037.40931,25022.70941,39013.76101,1411.517873,HM0139,40,8/10/2013,Sold,3/11/2023
Alcoves,ALC0053,ALCPH04,53,House & Lot,120.00,10290.4948,14216.21891,14902.30177,22817.37758,25192.79657,37033.59649,1339.875521,HM0140,40,6/24/2013,Sold,3/11/2023
Alcoves,ALC0054,ALCPH04,54,House & Lot,120.00,14853.0896,27766.85266,18290.98372,36354.22156,33144.07332,64121.07422,3590.780137,HM0139,40,3/31/2021,Sold,3/11/2023
Alcoves,ALC0055,ALCPH04,55,House & Lot,134.00,11557.33831,16127.62715,14987.6893,23180.80703,26545.02761,39308.43418,1422.179149,HM0140,40,6/7/2013,Sold,3/11/2023
Alcoves,ALC0056,ALCPH04,56,House & Lot,136.00,11730.90751,17188.32491,12469.04724,20316.41583,24199.95476,37504.74074,1356.92152,HM0001,40,7/21/2013,Sold,3/11/2023
Alcoves,ALC0057,ALCPH04,57,House & Lot,165.00,13945.45318,21519.23744,12372.23665,20158.67768,26317.68983,41677.91513,1507.906969,HM0001,40,10/23/2013,Sold,3/11/2023
Alcoves,ALC0058,ALCPH04,58,House & Lot,210.00,17919.16408,29091.993,14827.91548,67271.83197,32747.07956,96363.82497,3226.092801,HM0140,40,3/8/2013,Sold,3/11/2023
Alcoves,ALC0059,ALCPH04,59,House & Lot,133.00,11411.88843,15924.6598,12403.56267,19247.35112,23815.4511,35172.01092,1272.523355,HM0202,40,5/22/2013,Sold,3/11/2023
Alcoves,ALC0060,ALCPH04,60,House & Lot,135.00,11455.12581,15984.99505,14741.53302,22805.60579,26196.65883,38790.60083,1403.443938,HM0139,40,6/22/2013,Sold,3/11/2023
Alcoves,ALC0061,ALCPH04,61,House & Lot,120.00,10204.32391,14951.54889,14773.36923,23997.6002,24977.69314,38949.14909,1409.180214,HM0140,40,11/28/2013,Sold,3/11/2023
Alcoves,ALC0062,ALCPH04,62,House & Lot,120.00,15103.16639,20747.9761,18598.94325,29376.22781,33702.10963,50124.20391,1867.535703,HM0139,40,1/18/2018,Sold,3/11/2023
Alcoves,ALC0063,ALCPH04,63,House & Lot,120.00,10233.13878,16623.996,14815.08612,38441.04684,25048.22489,55065.04284,1585.60014,HM0140,40,7/27/2013,Sold,3/11/2023
Alcoves,ALC0064,ALCPH04,64,House & Lot,120.00,10235.27405,14282.75957,14822.33318,22924.1771,25057.60722,37206.93668,1346.146969,HM0139,40,4/13/2013,Sold,3/11/2023
Alcoves,ALC0065,ALCPH04,65,House & Lot,120.00,10165.55017,14185.46376,14717.23432,22768.01495,24882.78449,36953.47871,1336.97686,HM0140,40,5/30/2013,Sold,3/11/2023
Alcoves,ALC0066,ALCPH04,66,House & Lot,120.00,10209.30829,16662.87399,14967.54566,26744.31865,25176.85395,43407.19264,1570.47223,HM0139,40,5/11/2014,Sold,3/11/2023
Alcoves,ALC0067,ALCPH04,67,House & Lot,120.00,10053.94334,14917.54442,14739.76999,23943.0222,24793.71333,38860.56662,1405.9753,HM0140,40,12/28/2013,Sold,3/11/2023
Alcoves,ALC0068,ALCPH04,68,House & Lot,179.00,3914.094562,21805.0805,14796.0132,22889.8883,18710.10776,44694.9688,1617.063971,HM0140,40,11/11/2012,Sold,3/11/2023
Alcoves,ALC0069,ALCPH04,69,House & Lot,139.00,11918.65351,17047.61793,19484.71956,30532.32007,31403.37308,47579.938,1721.442157,HM0153,64,1/26/2013,Sold,3/11/2023
Alcoves,ALC0070,ALCPH04,70,House & Lot,120.00,10176.03816,14200.09916,23818.1019,37370.84221,33994.14006,51570.94138,1865.836659,HM0156,64,3/18/2013,Sold,3/11/2023
Alcoves,ALC0071,ALCPH04,71,House & Lot,121.00,10303.6187,14378.13055,23917.4057,37526.65087,34221.0244,51904.78142,1877.914992,HM0157,64,3/19/2013,Sold,3/11/2023
Alcoves,ALC0072,ALCPH04,72,House & Lot,120.00,10289.78933,14358.83264,25277.86739,37788.58604,35567.65673,52147.41869,1886.693608,HM0156,64,6/27/2013,Sold,3/11/2023
Alcoves,ALC0073,ALCPH04,73,House & Lot,120.00,10343.09328,14433.21536,24165.95813,37984.34135,34509.05141,52417.55671,1896.467202,HM0157,64,6/21/2013,Sold,3/11/2023
Alcoves,ALC0074,ALCPH04,74,House & Lot,120.00,10225.87375,14983.12407,22059.75777,31860.74285,32285.63152,46843.86692,1694.811105,HM0154,64,9/5/2013,Sold,3/11/2023
Alcoves,ALC0075,ALCPH04,75,House & Lot,121.00,10251.50101,14305.40319,23760.40564,37336.83382,34011.90664,51642.23701,1868.416135,HM0157,64,4/4/2013,Sold,3/11/2023
Alcoves,ALC0076,ALCPH04,76,House & Lot,120.00,11717.61819,18790.19555,26633.12276,47318.42082,38350.74094,66108.61637,1753.734453,HM0156,64,2/26/2017,Sold,3/11/2023
Alcoves,ALC0077,ALCPH04,77,House & Lot,120.00,10220.40242,14975.10739,23879.299,39410.45545,34099.70142,54385.56284,1967.669664,HM0157,64,9/6/2013,Sold,3/11/2023
Alcoves,ALC0078,ALCPH04,78,House & Lot,120.00,10283.31785,15067.29215,19466.36097,32039.72137,29749.67882,47107.01352,1704.331749,HM0152,64,10/14/2013,Sold,3/11/2023
Alcoves,ALC0079,ALCPH04,79,House & Lot,120.00,10181.6387,16617.71373,26839.32404,43733.35344,37020.96274,60351.06718,2183.501611,HM0157,64,11/23/2014,Sold,3/11/2023
Alcoves,ALC0080,ALCPH04,80,House & Lot,120.00,10136.31562,15039.76434,23982.40093,39580.61515,34118.71655,54620.37948,1976.16533,HM0156,64,12/19/2012,Sold,3/11/2023
Alcoves,ALC0081,ALCPH04,81,House & Lot,120.00,10188.57191,16629.0296,27052.43007,43763.13376,37241.00198,60392.16336,2184.98847,HM0157,64,4/8/2015,Sold,3/11/2023
Alcoves,ALC0082,ALCPH04,82,House & Lot,120.00,11937.53727,16635.42147,18197.4089,43779.95545,30134.94618,60415.37692,2185.828337,HM0156,64,1/23/2014,Sold,3/11/2023
Alcoves,ALC0083,ALCPH04,83,House & Lot,120.00,10203.9157,15140.066,24914.31868,39844.58214,35118.23438,54984.64814,1989.34457,HM0157,64,12/30/2013,Sold,3/11/2023
Alcoves,ALC0084,ALCPH04,84,House & Lot,120.00,10255.63127,14311.16695,25671.3929,37663.14275,35927.02416,51974.3097,1880.430525,HM0156,64,4/6/2013,Sold,3/11/2023
Alcoves,ALC0085,ALCPH04,85,House & Lot,128.00,10909.43003,15984.68211,19360.86887,31866.09171,30270.2989,47850.77382,1731.240997,HM0155,64,8/10/2013,Sold,3/11/2023
Alcoves,ALC0086,ALCPH04,86,House & Lot,129.00,10985.40197,17929.55639,24432.62239,43893.74001,35418.02436,61823.2964,2236.766864,HM0156,64,5/29/2014,Sold,3/11/2023
Alcoves,ALC0087,ALCPH04,87,House & Lot,129.00,10861.5838,17727.46957,26634.13427,43399.00684,37495.71806,61126.47642,2211.555917,HM0157,64,12/12/2014,Sold,3/11/2023
Alcoves,ALC0088,ALCPH04,88,House & Lot,129.00,11057.65823,15661.80638,19471.80477,30522.55371,30529.463,46184.36009,1670.950148,HM0152,64,5/30/2013,Sold,3/11/2023
Alcoves,ALC0089,ALCPH04,89,House & Lot,216.00,18468.71858,26502.87161,24015.55783,37258.77697,42484.27641,63761.64858,2306.896446,HM0156,64,4/10/2013,Sold,3/11/2023
Alcoves,ALC0090,ALCPH04,90,House & Lot,161.00,13868.90665,19837.12518,24151.89241,37962.23268,38020.79906,57799.35786,2091.180767,HM0157,64,3/27/2013,Sold,3/11/2023
Alcoves,ALC0091,ALCPH04,91,House & Lot,128.00,10828.13504,17672.87701,24671.64232,43603.36819,35499.77737,61276.24519,2216.974551,HM0157,64,3/2/2014,Sold,3/11/2023
Alcoves,ALC0092,ALCPH04,92,House & Lot,128.00,10867.86541,17737.72196,24035.85698,35360.84571,34903.72239,53098.56767,1921.106178,HM0152,64,3/30/2014,Sold,3/11/2023
Alcoves,ALC0093,ALCPH04,93,House & Lot,128.00,10814.09263,17649.95802,23986.88737,43546.82138,34800.98,61196.7794,2214.099479,HM0157,64,5/31/2014,Sold,3/11/2023
Alcoves,ALC0094,ALCPH04,94,House & Lot,128.00,13022.24636,18435.18277,11619.59154,45484.1655,24641.8379,63919.34827,2251.548119,HM0156,64,7/13/2016,Sold,3/11/2023
Alcoves,ALC0095,ALCPH04,95,House & Lot,128.00,10904.31273,17797.20855,24760.29907,43910.12493,35664.61179,61707.33349,2232.571326,HM0157,64,6/26/2014,Sold,3/11/2023
Alcoves,ALC0096,ALCPH04,96,House & Lot,126.00,10614.23605,17323.76697,24655.33049,43420.47207,35269.56654,60744.23904,2197.726569,HM0156,64,11/5/2014,Sold,3/11/2023
Alcoves,ALC0097,ALCPH04,97,House & Lot,120.00,10155.77559,16575.50189,24562.74154,43622.26322,34718.51713,60197.76511,2177.955142,HM0157,64,7/14/2014,Sold,3/11/2023
Alcoves,ALC0098,ALCPH04,98,House & Lot,120.00,10140.95728,16551.31655,29702.03603,43558.6139,39842.99331,60109.93044,2174.777283,HM0156,64,6/30/2014,Sold,3/11/2023
Alcoves,ALC0099,ALCPH04,99,House & Lot,120.00,10162.73036,16586.85295,25031.78197,43652.13616,35194.51234,60238.98911,2179.446626,HM0157,64,7/17/2014,Sold,3/11/2023
Alcoves,ALC0100,ALCPH04,100,House & Lot,120.00,11560.42361,19810.33567,26840.94474,43274.50558,38401.36835,63084.84126,2228.646375,HM0156,64,10/17/2016,Sold,3/11/2023
Alcoves,ALC0101,ALCPH04,101,House & Lot,120.00,10169.27931,16597.54166,22077.2872,34940.77108,32246.56652,51538.31275,1864.656155,HM0153,64,8/1/2014,Sold,3/11/2023
Alcoves,ALC0102,ALCPH04,102,House & Lot,120.00,10135.75228,16542.82133,24153.46853,43536.25676,34289.2208,60079.07809,2173.661045,HM0156,64,3/7/2014,Sold,3/11/2023
Alcoves,ALC0103,ALCPH04,103,House & Lot,120.00,10179.35068,16613.9794,24752.01642,43723.52568,34931.3671,60337.50508,2183.010934,HM0157,64,2/15/2014,Sold,3/11/2023
Alcoves,ALC0104,ALCPH04,104,House & Lot,120.00,10127.40304,16529.19433,24434.15387,43065.39017,34561.55691,59594.5845,2156.132067,HM0156,64,2/7/2014,Sold,3/11/2023
Alcoves,ALC0105,ALCPH04,105,House & Lot,120.00,10224.48581,14981.09045,19354.9917,31856.41847,29579.47752,46837.50892,1694.581073,HM0153,64,9/11/2013,Sold,3/11/2023
Alcoves,ALC0106,ALCPH04,106,House & Lot,121.00,11677.75352,17772.9674,26549.68465,38761.3889,38227.43817,56534.3563,643.0259606,HM0156,64,6/27/2016,Sold,3/11/2023
Alcoves,ALC0107,ALCPH04,107,House & Lot,120.00,10050.7059,16404.01495,24364.76141,43170.95572,34415.46731,59574.97068,2155.422439,HM0157,64,2/14/2014,Sold,3/11/2023
Alcoves,ALC0108,ALCPH04,108,House & Lot,120.00,10135.40796,16542.25936,25127.76317,43534.77781,35263.17113,60077.03716,2173.587205,HM0156,64,2/5/2014,Sold,3/11/2023
Alcoves,ALC0109,ALCPH04,109,House & Lot,120.00,10119.35284,15014.5958,25066.54434,39514.37833,35185.89718,54528.97414,1972.858284,HM0157,64,12/7/2013,Sold,3/11/2023
Alcoves,ALC0110,ALCPH04,110,House & Lot,120.00,10172.4531,14755.80272,19256.49358,31377.35719,29428.94668,46133.15991,1669.097726,HM0152,64,10/9/2013,Sold,3/11/2023
Alcoves,ALC0111,ALCPH04,111,House & Lot,120.00,10152.05352,14708.36186,23719.60628,38708.45281,33871.65981,53416.81466,1932.620354,HM0157,64,7/24/2013,Sold,3/11/2023
Alcoves,ALC0112,ALCPH04,112,House & Lot,152.00,13022.73519,18626.82019,19462.17518,30507.45908,32484.91038,49134.27927,1777.678224,HM0152,64,4/28/2013,Sold,3/11/2023
Alcoves,ALC0113,ALCPH04,113,House & Lot,123.00,10423.79999,15654.96946,16835.22153,28406.83298,27259.02152,44061.80244,1594.156012,HM0189,44,7/17/2013,Sold,3/11/2023
Alcoves,ALC0114,ALCPH04,114,House & Lot,80.00,6880.556351,9601.436142,16880.15225,27456.55992,23760.7086,37057.99606,1340.758298,HM0189,44,5/8/2013,Sold,3/11/2023
Alcoves,ALC0115,ALCPH04,115,House & Lot,80.00,6861.158897,9574.368067,16832.56424,27379.15523,23693.72314,36953.52329,1336.978473,HM0190,44,6/12/2013,Sold,3/11/2023
Alcoves,ALC0116,ALCPH04,116,House & Lot,80.00,6890.861469,10096.60718,14586.21636,23222.29411,21477.07783,33318.90129,1205.477849,HM0187,44,11/8/2013,Sold,3/11/2023
Alcoves,ALC0117,ALCPH04,117,House & Lot,80.00,6779.101966,9520.519433,14163.36335,21897.28657,20942.46532,31417.80601,1136.696221,HM0186,44,11/27/2013,Sold,3/11/2023
Alcoves,ALC0118,ALCPH04,118,House & Lot,80.00,9906.289824,11082.664,20128.67707,44024.74682,30034.9669,55107.41082,3202.062702,HM0189,44,9/11/2020,Sold,3/11/2023
Alcoves,ALC0119,ALCPH04,119,House & Lot,80.00,6722.612539,10972.1484,17688.22506,31376.29054,24410.8376,42348.43893,1532.166521,HM0190,44,12/15/2014,Sold,3/11/2023
Alcoves,ALC0120,ALCPH04,120,House & Lot,80.00,7789.437464,13548.46893,18415.10674,28803.16356,26204.54421,42351.63249,1804.068426,HM0189,44,9/16/2016,Sold,3/11/2023
Alcoves,ALC0121,ALCPH04,121,House & Lot,80.00,6683.643463,10908.54597,17209.23996,31194.41109,23892.88342,42102.95706,1523.284986,HM0190,44,5/21/2015,Sold,3/11/2023
Alcoves,ALC0122,ALCPH04,122,House & Lot,80.00,6778.81587,11063.87929,15557.7432,25627.36456,22336.55907,36691.24385,400.2911529,,0,3/14/2012,Sold,3/11/2023
Alcoves,ALC0123,ALCPH02,123,Lot Only,160.00,12111.12626,26563.66653,,,12111.12626,26563.66653,961.0734549,,0,3/24/2014,Sold,3/11/2023
Alcoves,ALC0124,ALCPH04,124,House & Lot,80.00,6777.27713,11061.36788,15557.7432,25627.36456,22335.02033,36688.73244,400.2002898,,0,5/27/2012,Sold,3/11/2023
Alcoves,ALC0125,ALCPH04,125,House & Lot,80.00,6688.677375,10916.76194,15557.7432,25627.36456,22246.42058,36544.1265,394.9684472,,0,5/27/2012,Sold,3/11/2023
Alcoves,ALC0126,ALCPH02,126,Lot Only,160.00,12034.93135,26396.54614,,,12034.93135,26396.54614,955.0270393,,0,2/20/2014,Sold,3/11/2023
Alcoves,ALC0127,ALCPH04,127,House & Lot,80.00,6731.448415,10986.56966,15557.7432,25627.36456,22289.19161,36613.93422,397.4940901,,0,5/30/2012,Sold,3/11/2023
Alcoves,ALC0128,ALCPH04,128,House & Lot,80.00,6805.472861,11107.38685,15557.7432,25627.36456,22363.21606,36734.75141,401.8652564,,0,6/10/2012,Sold,3/11/2023
Alcoves,ALC0129,ALCPH02,129,Lot Only,160.00,12085.19559,26506.79207,,,12085.19559,26506.79207,959.0157371,,0,1/25/2014,Sold,3/11/2023
Alcoves,ALC0130,ALCPH04,130,House & Lot,80.00,6702.788398,10939.79291,15557.7432,25627.36456,22260.5316,36567.15747,395.8017074,,0,6/14/2012,Sold,3/11/2023
Alcoves,ALC0131,ALCPH02,131,Lot Only,160.00,12074.06784,26482.38529,,,12074.06784,26482.38529,958.1326998,,0,1/26/2014,Sold,3/11/2023
Alcoves,ALC0132,ALCPH02,132,Lot Only,160.00,11999.7531,26319.38872,,,11999.7531,26319.38872,952.235484,,0,4/3/2014,Sold,3/11/2023
Alcoves,ALC0133,ALCPH02,133,Lot Only,163.00,12426.00676,27254.30294,,,12426.00676,27254.30294,986.0606804,,0,4/13/2014,Sold,3/11/2023
Alcoves,ALC0134,ALCPH02,134,Lot Only,168.00,12750.99767,27967.11415,,,12750.99767,27967.11415,1011.85019,,0,2/26/2014,Sold,3/11/2023
Alcoves,ALC0135,ALCPH02,135,Lot Only,168.00,12634.13798,28403.58531,,,12634.13798,28403.58531,1027.641716,,0,3/6/2013,Sold,3/11/2023
Alcoves,ALC0136,ALCPH02,136,Lot Only,168.00,12825.2018,29827.27198,,,12825.2018,29827.27198,1028.555539,,0,2/27/2018,Sold,3/11/2023
Alcoves,ALC0137,ALCPH02,137,Lot Only,168.00,12767.08638,28702.462,,,12767.08638,28702.462,787.4650017,,0,8/28/2016,Sold,3/11/2023
Alcoves,ALC0138,ALCPH02,138,Lot Only,211.00,16009.93901,36870.78133,,,16009.93901,36870.78133,1333.984868,,0,2/8/2014,Sold,3/11/2023
Alcoves,ALC0139,ALCPH02,139,Lot Only,142.00,10794.55351,24267.90201,,,10794.55351,24267.90201,878.0126947,,0,1/24/2014,Sold,3/11/2023
Alcoves,ALC0140,ALCPH02,140,Lot Only,167.00,12752.95571,23362.3982,,,12752.95571,23362.3982,782.1323477,,0,5/18/2014,Sold,3/11/2023
Alcoves,ALC0141,ALCPH02,141,Lot Only,166.00,12625.26902,27691.35024,,,12625.26902,27691.35024,1001.873052,,0,10/31/2014,Sold,3/11/2023
Alcoves,ALC0142,ALCPH02,142,Lot Only,166.00,12650.81394,23222.5036,,,12650.81394,23222.5036,764.2737974,,0,2/22/2017,Sold,3/11/2023
Alcoves,ALC0143,ALCPH02,143,Lot Only,167.00,12699.96134,27855.17464,,,12699.96134,27855.17464,1007.800218,,0,8/8/2014,Sold,3/11/2023
Alcoves,ALC0144,ALCPH02,144,Lot Only,167.00,12591.27772,27616.79588,,,12591.27772,27616.79588,999.175675,,0,4/19/2015,Sold,3/11/2023
